index,composition,
948,PbSe,1
949,RbBi3Se5,1
950,TbIn3S6,1
951,PbCoO3,1
952,KSbSe2,1
953,RbH2I3O9,1
954,EuN,1
955,CuAlTe2,1
956,Bi2Te0.3Se2.7,1
957,La2Se3,1
958,Tl3VS4,1
959,Na2Ti3O7,1
960,Pb0.995TeIn0.005,1
961,CdSe,1
962,In0.9As0.9Ga0.1P0.1,1
963,RbCaBO3,1
964,CuInS2,1
965,ZnO,1
966,Cu0.5Ga1.5Se2.5,1
967,KGaSe2,1
968,KIO3,1
969,Ga0.9Sb0.9Zn0.1Te0.1,1
970,PdTe2,1
971,Zn3B2O6,1
972,CuGaSe2,1
973,RbNb3Te2O12,1
974,Tl2S,1
975,ZnS,1
976,CdAs2,1
977,LiGaSe2,1
978,CdSe,1
979,GaTc,1
980,CdIn2S4,1
981,GaAs,1
982,AlSb,1
983,Pb0.85Sn0.15Te,1
984,Pb0.77Sn0.23Te,1
985,CdSiP2,1
986,K2Se,1
987,SbSI,1
988,In6Se7,1
989,Sb2Se3,1
990,InP,1
991,GaAs0.8P0.2,1
992,Bi24BO39,1
993,Cu2MgGeS4,1
994,BaGa2GeS6,1
995,K10Co4Sn4S17,1
996,PbS,1
997,K2.15Pb1.7Sb8.15Se15,1
998,Hg6.5As4CdCl6,1
999,PbS,1
1000,CdS,1
1001,CsAsSe2,1
1002,TlCr5S5Se3,1
1003,AgSbTe2,1
1004,NaInTe2O6,1
1005,CdS,1
1006,Pb3Cl4TeO3,1
1007,Na0.5Pb1.75GeS4,1
1008,LiAsS2,1
1009,Cs4Ag9Sb4S12,1
1010,CuGa3Se5,1
1011,RuP2,1
1012,InSb,1
1013,ZnO,1
1014,AgGaS2,1
1015,CaI2,1
1016,GaAs0.99P0.01,1
1017,PbTe,1
1018,Nd2O3,1
1019,GeO2,1
1020,Hg0.77Cd0.23Te,1
1021,RbPbPO4,1
1022,Li2MoTeO6,1
1023,CuIn3Te5,1
1024,LiGd5P2O13,1
1025,AgS,1
1026,Li2HgSiS4,1
1027,InN,1
1028,CdSb,1
1029,EuTb2Se4,1
1030,As2S3,1
1031,GaSe,1
1032,CdGa2Se4,1
1033,CdSiAs2,1
1034,KBiCu2S3,1
1035,PbSe,1
1036,ZnIn2Se4,1
1037,InSe,1
1038,In2Bi3Se7I,1
1039,SbSBr,1
1040,Pb0.99TeIn0.01,1
1041,K2MnSnSe4,1
1042,IrSe2,1
1043,VFeSb,1
1044,LaGaS3,1
1045,CsBi2,1
1046,PbSnS3,1
1047,GeSe,1
1048,CaTe,1
1049,ZnIn2Se4,1
1050,RbNbSe2O7,1
1051,HgIn2Te4,1
1052,CdS0.55Se0.45,1
1053,K2S,1
1054,Zn0.99Hg0.01Se,1
1055,Tl4CdI6,1
1056,Cu0.1In1.9Se2.9,1
1057,PbTe,1
1058,BaSe,1
1059,HgBr2,1
1060,Cd3P2,1
1061,Ga1.1Sb0.9Te0.3,1
1062,Ag2O,1
1063,Cd3Sb2,1
1064,CsTm9Cd4Se18,1
1065,Bi2Te0.4Se2.6,1
1066,EuTe,1
1067,NaYTe4O10,1
1068,K2La2Ti3O10,1
1069,Pb0.99Ge0.01Se,1
1070,TlInTe2,1
1071,Pb0.9Se0.9Ge0.1S0.1,1
1072,K2Mo2Se2O11,1
1073,ZnIn2S4,1
1074,PbBr2,1
1075,As2S5,1
1076,LaCuOSe,1
1077,NaH3Se2O6,1
1078,IrSSe,1
1079,GaAs,1
1080,GeS,1
1081,MgO,1
1082,SbSI,1
1083,GaN,1
1084,Cu2ZnSiTe4,1
1085,OsAs2,1
1086,CdTeO3,1
1087,Pb0.85Sn0.15Te,1
1088,KIO3,1
1089,Hg4As2UCl6,1
1090,RhS3,1
1091,AgNb2PS10,1
1092,ZnS,1
1093,Sm3S3BO3,1
1094,GdScS3,1
1095,In6S7,1
1096,EuIn2Se4,1
1097,Cs2AgBiBr6,1
1098,Pb0.9Sn0.1Se,1
1099,PbS,1
1100,LiGaTe2,1
1101,CdSiP2,1
1102,OsSb2,1
1103,CeTaN2O,1
1104,Ag3AsS3,1
1105,Ce4InSbSe9,1
1106,CdS,1
1107,YN,1
1108,CdSnP2,1
1109,TbClWO4,1
1110,CdIn2Se4,1
1111,LiAsSe2,1
1112,RbCl,1
1113,ZnAs2,1
1114,CoSb2,1
1115,SnS0.99Se0.01,1
1116,BaPdI4O12,1
1117,Fe2O3,1
1118,Hg0.2Zn0.8Te,1
1119,Ge0.88Si0.12,1
1120,GaSe,1
1121,NaSbP2S6,1
1122,K2Ge3B2O10,1
1123,Bi2S3,1
1124,Pr2GeSe5,1
1125,SrTiO3,1
1126,Ag3SbS3,1
1127,As2S3,1
1128,As2S3,1
1129,Rb2CuVS4,1
1130,Rb4Mo5P2O22,1
1131,InAs,1
1132,Ag3SbS3,1
1133,K2CuVS4,1
1134,GaAs,1
1135,Cu3TbSe3,1
1136,Sm2Se3,1
1137,AgInS2,1
1138,Cs4Cu3Bi9S17,1
1139,LiB3O5,1
1140,Bi2V2Se4O16,1
1141,Mg2GeSe4,1
1142,CdIn2Se4,1
1143,In0.99P0.99Ga0.01As0.01,1
1144,CdS,1
1145,NaBr,1
1146,CdGeAs2,1
1147,OsSb2,1
1148,GaAs0.01Sb0.99,1
1149,BiBr3,1
1150,Ga0.99Al0.01P,1
1151,CdSb,1
1152,ReSe2,1
1153,EuS,1
1154,Pb2BO3Cl,1
1155,Pb0.96TeIn0.04,1
1156,CsInSe2,1
1157,In0.6As0.6Ga0.4P0.4,1
1158,Ga0.5As0.5Zn0.5Se0.5,1
1159,Na2CsSb,1
1160,TlInS2,1
1161,ZnIn2Te4,1
1162,Ag3AsSe3,1
1163,K10Co4Sn4S17,1
1164,OsPS,1
1165,CuGa1.6In0.4S3.5,1
1166,Cu3SmS3,1
1167,ZnGeAs2,1
1168,InSb0.01As0.99,1
1169,Gd2Mo3O12,1
1170,PbBr2,1
1171,Ba2BiInS5,1
1172,BiFeSe3O9,1
1173,Cu2CdSnSe4,1
1174,Li3ScN2,1
1175,InBi2Se4Br,1
1176,GeS2,1
1177,Pb0.999TeIn0.001,1
1178,CuSbS2,1
1179,CaO,1
1180,LiMoIO6,1
1181,Hg0.9Cd0.1Se,1
1182,Pb0.8Ge0.2Se,1
1183,TlSbS2,1
1184,Cs2Hg3I8,1
1185,Ba2InSmSe5,1
1186,SbSeBr,1
1187,K2Al2B2O7,1
1188,PbTe,1
1189,CuInS2,1
1190,AlSb,1
1191,Zn0.9S0.9Ga0.1P0.1,1
1192,Ag2O,1
1193,Sb2Te3,1
1194,CsHgInS3,1
1195,Ge0.542Si0.458,1
1196,CuInTe2,1
1197,HgGa2Se4,1
1198,Sr3Ti2O7,1
1199,RuTe2,1
1200,CdTe,1
1201,CuInGeSe4,1
1202,GeTe2,1
1203,Zn3V2TeO10,1
1204,Zn3As2,1
1205,K2Hg3S1.03Se2.97,1
1206,NaSbP2S6,1
1207,InSb,1
1208,YNiSb,1
1209,NaAsSe2,1
1210,PbI2,1
1211,As2S3,1
1212,RbMn4Ga5Te12,1
1213,Cs2Hg5.75Cd0.25S7,1
1214,NiO,1
1215,CsI,1
1216,Se2B2O7,1
1217,Cd3P2,1
1218,SiTe2,1
1219,Cs2PdP2Se6,1
1220,Cu2SnSe3,1
1221,LaCuOTe,1
1222,BaSi2,1
1223,K2CeP2O8,1
1224,GaAs0.6P0.4,1
1225,Li2HgSnS4,1
1226,NaCl,1
1227,CdIn2S4,1
1228,Pb0.95Ge0.05Te,1
1229,InN,1
1230,KI,1
1231,As2Te3,1
1232,BSb,1
1233,CrO3,1
1234,CsBiSe2,1
1235,Mg3As2,1
1236,CsCu2SbS3,1
1237,AsI3,1
1238,Hg2Cl2,1
1239,Bi2Cu0.96Se3I,1
1240,CdS0.01Se0.99,1
1241,NaAsSe2,1
1242,TlSe,1
1243,Rb4Ag9Sb4S12,1
1244,AgIn9Te14,1
1245,Ba2SnSe4,1
1246,SnS,1
1247,BiOCl,1
1248,ZnO,1
1249,TiNiSb,1
1250,ZnS,1
1251,Cu0.01Ga1.99Se2.99,1
1252,Cu0.5In1.5Se2.5,1
1253,Na8Al8Si38,1
1254,AgI,1
1255,Cu0.3Ga1.7S2.7,1
1256,Ge2Sb2Te5,1
1257,CsPbPO4,1
1258,KH3Se2O6,1
1259,PdPAs,1
1260,K2Sm2Ti3O10,1
1261,Sn2WO5,1
1262,Pb0.95Se0.95Sn0.05Se0.05,1
1263,Ga2O3,1
1264,SnSe2,1
1265,Ga2O3,1
1266,RbBiS2,1
1267,NdB6,1
1268,GaAs0.5P0.5,1
1269,CsZn4In5Te12,1
1270,NiP2,1
1271,CsYbMnSe3,1
1272,Ba4AgGa5S12,1
1273,KInS2,1
1274,Ag2HgI4,1
1275,K10Zn4Sn4S17,1
1276,Gd1.87Lu2.13Se6,1
1277,Cs2SnP2Se6,1
1278,PdPS,1
1279,HgPS3,1
1280,AgInSe2,1
1281,CoTe1.88,1
1282,SrIr4In2Ge4,1
1283,NaSbF6,1
1284,CdIn8Te13,1
1285,Cu3GdTe3,1
1286,RbI,1
1287,Cu0.99In1.01Se2.01,1
1288,In0.5Ga0.5P,1
1289,Ge0.9Si0.1,1
1290,EuO,1
1291,TlGaSe2,1
1292,NaCl,1
1293,In4Se3,1
1294,CsErZnSe3,1
1295,InSe,1
1296,NaGaGe3Se8,1
1297,Bi3F3I4O13,1
1298,Pb0.94Sn0.06Se,1
1299,SnSe,1
1300,Cu3HoSe3,1
1301,RbInGeS4,1
1302,Cu2Se,1
1303,AgF,1
1304,KSbSe2,1
1305,Cu2Ga4Te7,1
1306,Sm2Sc3,1
1307,ZnO,1
1308,CdSnAs2,1
1309,Cd4As2I3,1
1310,WSe2,1
1311,Ba3B1.5S6Bi0.5,1
1312,Hg2Br2,1
1313,CdSb,1
1314,GaN,1
1315,BaSnO3,1
1316,Cs8Ga8Si38,1
1317,Ca5B3O9F,1
1318,BiOI,1
1319,PrO,1
1320,In6Se7,1
1321,SnS0.01Se0.99,1
1322,TlBr,1
1323,Hg6As4CdBr6,1
1324,YB66,1
1325,Bi3Ge3O10.5,1
1326,CrO2,1
1327,Pb0.98Se0.98Bi0.04Te0.06,1
1328,Cs3Bi,1
1329,V2O5,1
1330,GdB6,1
1331,La2S3,1
1332,Zn3As2,1
1333,Li4.5Mn0.5TeO6,1
1334,Rb2Te,1
1335,InSb0.4As0.6,1
1336,Ce3MoO7,1
1337,Pd3P2S8,1
1338,BaTiO3,1
1339,Cs2TiAg2S4,1
1340,InP,1
1341,Ga0.1As0.1Zn0.9Se0.9,1
1342,Zn3As2,1
1343,Ag0.4Cd0.2In2.4Te4,1
1344,PbS,1
1345,Y3GaS6,1
1346,Sc2O3,1
1347,Y6ZnSi2S14,1
1348,Tl2Cu2SnS4,1
1349,Ba3MgTa2O9,1
1350,Na3ZnB5O10,1
1351,LiBiS2,1
1352,GaAs,1
1353,KNbSe2O7,1
1354,NiP2,1
1355,ZnO,1
1356,GaSe,1
1357,CdGeAs2,1
1358,InS,1
1359,Nd2S3,1
1360,HfO2,1
1361,Rb2TiAg2S4,1
1362,AgInSe2,1
1363,La3InGe0.5S7,1
1364,Ba2InYSe5,1
1365,Pb0.8Se0.8Bi0.4Te0.6,1
1366,Pb6Sb6Se17,1
1367,Ba2GaBiSe5,1
1368,GaSe,1
1369,As2S3,1
1370,As2S3,1
1371,CdSe,1
1372,K2Cu2Sn2Se6,1
1373,ErN,1
1374,As2Se3,1
1375,TlCuCl3,1
1376,Er2Mo3O12,1
1377,Ba4Ge3Se9Cl2,1
1378,CuPbBiSe3,1
1379,Eu3As2,1
1380,HgCl2,1
1381,SrO,1
1382,Zn3As2,1
1383,TlSe,1
1384,AgInO2,1
1385,BaPdSe6,1
1386,AgS,1
1387,Cu3HoTe3,1
1388,ZnTe,1
1389,SbI3,1
1390,K4Ba2Nb4S22,1
1391,SnSi,1
1392,CoSbS,1
1393,InAs,1
1394,Pb0.999TeTl0.001,1
1395,Ge40.0Te5.3I8,1
1396,AlSb,1
1397,Ag3AsSe3,1
1398,Cs2Cd3Te4,1
1399,PdI2O6,1
1400,Ba3BSbS6,1
1401,Ba2GaNdSe5,1
1402,ZnGeP2,1
1403,K2CuGa3Se6,1
1404,CdSiAs2,1
1405,NaBiSe2,1
1406,Bi2Te2.1Se0.9,1
1407,Ta0.67Zr1.33O1.38N1.97,1
1408,Cd8B5O15F,1
1409,As2Te3,1
1410,Hg0.08Zn0.92Te,1
1411,TlHgInS3,1
1412,KTiPO5,1
1413,RbI,1
1414,GaS,1
1415,EuIn2Te4,1
1416,As2S3,1
1417,Tb2O3,1
1418,LiGaS2,1
1419,K2TiCu2S4,1
1420,KAu5PS8,1
1421,GaAs,1
1422,Tl4Ta2S11,1
1423,Er3SmSe6,1
1424,Pb0.6Ge0.4Te,1
1425,ZnS,1
1426,CrTe2,1
1427,CuCl,1
1428,PbS,1
1429,Bi2O3,1
1430,Cu0.9Ga1.1Se2.1,1
1431,CuFeTe2,1
1432,NdF3,1
1433,Pb0.85Se0.85Sn0.15Se0.15,1
1434,Hg0.4Cd0.6Se,1
1435,AgAsTe2,1
1436,SbSi,1
1437,GaAs,1
1438,Hg4As2CdI4,1
1439,Cu0.9In1.1Se2.1,1
1440,Cs4BiAs3Se7,1
1441,SrMgSnSe4,1
1442,Pb2BO4H,1
1443,K4Nb2S11,1
1444,LiAsSe2,1
1445,K2Sn3Sb2S10,1
1446,NaSbS2,1
1447,CuCl,1
1448,LiCa3As2H,1
1449,PbO2,1
1450,Pb0.8Sn0.2Se,1
1451,La2Se3,1
1452,ZnO,1
1453,CdS,1
1454,GeSn,1
1455,Bi1.6Te3Sb0.4,1
1456,GdN,1
1457,AgInS2,1
1458,Lu2CrS4,1
1459,MnF2,1
1460,CuGa2Se4,1
1461,La8Sb2S15,1
1462,Zn3Sb2,1
1463,NaCl,1
1464,Ag5IO6,1
1465,UY4O3S5,1
1466,Ta0.67Zr1.33O0.42N2.61,1
1467,InSe,1
1468,GeS,1
1469,Tl2GeTe3,1
1470,ZnGeP2,1
1471,Zn2LiGaO4,1
1472,BiIO3F2,1
1473,TlSbTe3,1
1474,Ba3B1.5S6Sb0.5,1
1475,GeSe2O6,1
1476,Pb0.87Sn0.13Se,1
1477,Cu3AsSe4,1
1478,AgTe,1
1479,Cd3Bi2,1
1480,RbBi3Se4Te,1
1481,DyAs,1
1482,Bi25TiO39,1
1483,Rb2TeBr6,1
1484,In2Se,1
1485,GeAs,1
1486,YVSeO10,1
1487,InSb,1
1488,KCu4AsS4,1
1489,K2ZnSn3S8,1
1490,B2O3,1
1491,As2S3,1
1492,PdS2,1
1493,GaS,1
1494,AgScO2,1
1495,ZnIn2S4,1
1496,CdSiP2,1
1497,CdGeAs2,1
1498,Gd2Mo3O12,1
1499,PbS,1
1500,AgGaTe2,1
1501,ScTiNbO6,1
1502,La3Sb0.33SiS7,1
1503,Cd4Sb2I3,1
1504,Ga2GeTe3,1
1505,Pb0.99Sn0.01Se,1
1506,GaAs0.15Sb0.85,1
1507,LiInS2,1
1508,Cu0.7In1.3Se2.3,1
1509,PbSe,1
1510,Ga0.95Sb0.95Cd0.05Te0.05,1
1511,Cu0.3In1.7Se2.7,1
1512,Cu0.15Ga1.85Se2.85,1
1513,GeO2,1
1514,CsYHgSe3,1
1515,Pr2Se3,1
1516,SiSe2,1
1517,Pb2N2SeO9,1
1518,Pb0.94Sn0.06Se,1
1519,Tl2BiP2S7,1
1520,SnS0.4Se0.6,1
1521,GeS,1
1522,Pb0.999Se0.999Sn0.001Se0.001,1
1523,In2Se2O7,1
1524,NH6PO4,1
1525,In2Se3,1
1526,SiSe2,1
1527,NaInSnS4,1
1528,Cs2TeBr6,1
1529,K0.6Cs0.4PSe6,1
1530,Ca2Ge,1
1531,Ba2ZnTe3,1
1532,Zn2In2S5,1
1533,CuGaO2,1
1534,Ni2InVO6,1
1535,PrB6,1
1536,Rb2Mo3Se3O16,1
1537,CdS,1
1538,RbInS2,1
1539,Ga1.001Sb0.999Se0.003,1
1540,BaGa4S7,1
1541,CuIn3Te5,1
1542,LiMgAs,1
1543,InSb,1
1544,Ba2ZnV2O8,1
1545,TlSe,1
1546,Bi2SI2O11,1
1547,Pb0.99Ge0.01Te,1
1548,ZrSe3,1
1549,ZnTe,1
1550,ZnSb,1
1551,Rb2AgPS4,1
1552,BaCu2SnSe4,1
1553,BiPO4,1
1554,Na2Se,1
1555,InAs,1
1556,La4FeSb2S10,1
1557,GdSb2BO8,1
1558,SbSeI,1
1559,SiSn,1
1560,Ba2Ga8SiS16,1
1561,PbS,1
1562,RbI,1
1563,Cu3AsS4,1
1564,Ag3SbS3,1
1565,K2Cu2Sn2S6,1
1566,Sb2Te3,1
1567,Zn0.8Hg0.2Se,1
1568,EuO,1
1569,Ag2V2I4O16,1
1570,GaAs0.1P0.9,1
1571,HgO,1
1572,NaNb2PS10,1
1573,CuGa3Se5,1
1574,Zn2MoTeO7,1
1575,TlInS2,1
1576,ScTa2O5N,1
1577,AgInS2,1
1578,CdAs2,1
1579,Ag0.25Cd0.5In2.25Te4,1
1580,In6S7,1
1581,TbSb2BO8,1
1582,TlPrSe2,1
1583,BaGa2SnSe6,1
1584,GeSe2,1
1585,ZnO,1
1586,ZnTe,1
1587,In2Se3,1
1588,Ag2SnSe3,1
1589,AgGaSe2,1
1590,CdSnAs2,1
1591,InSb0.5As0.5,1
1592,B4C,1
1593,GdH2NO5,1
1594,Cu2GeSe3,1
1595,TlCl,1
1596,GaAs0.7Sb0.3,1
1597,PbI2,1
1598,ZnO,1
1599,GaN,1
1600,PdO,1
1601,Tl2TeS3,1
1602,AgFeTe2,1
1603,GeS2,1
1604,ZnS,1
1605,CaPr2S4,1
1606,Hg0.1Cd0.9Se,1
1607,InP,1
1608,InSb,1
1609,Ba2BiGaS5,1
1610,Cd3As2,1
1611,Bi24VO41,1
1612,V2O4,1
1613,SnS,1
1614,Pr1.29Lu0.71S3,1
1615,AgAsSe2,1
1616,TlInSe2,1
1617,InAs,1
1618,TaGaSe2,1
1619,AlN,1
1620,Sr8.007Ge2.043Bi7.949Se24,1
1621,Zr3O,1
1622,In0.4As0.4Ga0.6P0.6,1
1623,TlCr5S8,1
1624,Cu3TbTe3,1
1625,Na2CdGe2S6,1
1626,La2Ga2GeS8,1
1627,CsLuCoS3,1
1628,La2MoO5,1
1629,Ba7B3O9F5,1
1630,Ag2GeSe3,1
1631,In2Se,1
1632,Ge0.4Si0.6,1
1633,CdIn2Te4,1
1634,BaTaO2N,1
1635,SnS0.25Se0.75,1
1636,Ag3AsS3,1
1637,Ge0.838Si0.162,1
1638,DyPO4,1
1639,HoIn3S6,1
1640,Ag2S,1
1641,PbTe,1
1642,Hg0.99Cd0.01Se,1
1643,PbTe0.99Se0.01,1
1644,GaBi,1
1645,PrTe2,1
1646,CsInGeSe4,1
1647,ZnSe,1
1648,RbNb4Br11,1
1649,CuP2,1
1650,SnSe,1
1651,PbSe0.95S0.05,1
1652,CsI,1
1653,K3Ti2P5S18,1
1654,Ba3FeS4Br,1
1655,CdP4,1
1656,PrIn3S6,1
1657,SiAs2,1
1658,ZnIn2Te4,1
1659,Eu3Sb4Se9,1
1660,MgGeN2,1
1661,Ca4Bi6O13,1
1662,PrCuOS,1
1663,Cu0.05Ga1.95S2.95,1
1664,H6PtI6O20,1
1665,TlBr,1
1666,Hg0.77Cd0.23Te,1
1667,PbTe,1
1668,Cu2WSe4,1
1669,SnTe,1
1670,Li2In2SiSe6,1
1671,In0.3P0.3Ga0.7As0.7,1
1672,GaAs0.2P0.8,1
1673,RbCd4In5Se12,1
1674,Sm3Te4,1
1675,YbSb4Te7,1
1676,CsLiB6O10,1
1677,DyN,1
1678,Li6Mo6Se6O33,1
1679,Zn0.85S0.85Ga0.15P0.15,1
1680,K8Ce2I18O53,1
1681,Rb3Al3Ge7S20,1
1682,Ba3Er2P4S16,1
1683,Li2ZnGeSe4,1
1684,K2Te,1
1685,CaO,1
1686,PbBiO2Br,1
1687,Tl2GeTe3,1
1688,Bi12TiO20,1
1689,WSe2,1
1690,PrLuSe3,1
1691,BP,1
1692,KSb5S8,1
1693,Ga1.02Sb0.98Te0.06,1
1694,VO2,1
1695,GdTe,1
1696,Pb0.59Ge0.41Te,1
1697,ZnSe,1
1698,CuZn2InTe4,1
1699,Cs2Al2B2O7,1
1700,Ba8Hg4S5Se7,1
1701,GaAs,1
1702,Pb0.9Se0.9Sn0.1Se0.1,1
1703,CdSb,1
1704,La2O2ZnSe2,1
1705,AgFeSe2,1
1706,CuBr,1
1707,GaSe,1
1708,TlPSe2,1
1709,In0.97As0.97Cd0.03Te0.03,1
1710,WO3,1
1711,Hg2Cl2,1
1712,GaAs,1
1713,Sb2S3,1
1714,K2Ag3Sb3S7,1
1715,AgGaS2,1
1716,InS,1
1717,Bi1.98Te3Sb0.02,1
1718,K2ReH9,1
1719,TlPSe2,1
1720,AgGaSe2,1
1721,Eu3Se4,1
1722,Ge0.999Si0.001,1
1723,Hg2Cu3Te6O16,1
1724,Ag8SnSe6,1
1725,MgO,1
1726,Bi2AsO4Cl,1
1727,Cs2TeI6,1
1728,Ag2GeS3,1
1729,ZnSnAs2,1
1730,Cd4YB3O10,1
1731,LiZnBO3,1
1732,OsP4,1
1733,AgSbS2,1
1734,TiTe2,1
1735,Pb2SbS2I3,1
1736,Cs3Bi2Br9,1
1737,La3Mg0.5SnS14,1
1738,ZnIn2S4,1
1739,CdS,1
1740,TlBiTe2,1
1741,Sc2O3,1
1742,InSe,1
1743,GaSb,1
1744,BaGa2SiSe6,1
1745,Ba2InGdSe5,1
1746,Cu3Ta7O19,1
1747,GaP,1
1748,PbTe,1
1749,PbSe,1
1750,K2CdP2Se6,1
1751,K1.83Cd1.83Bi2.17S6,1
1752,In4Te3,1
1753,Ag3AsSe3,1
1754,CsCd4In5Te12,1
1755,Ce4Ge3S12,1
1756,Tl2Hg3S4,1
1757,CuGa3Te5,1
1758,CuPbBiS3,1
1759,KBi3S5,1
1760,CsCaBO3,1
1761,Hg0.65Cd0.35Te,1
1762,TlGaTe2,1
1763,Cu3GdS3,1
1764,Cu3TmTe3,1
1765,LiBi3O4Cl2,1
1766,As2Se3,1
1767,TlCl,1
1768,KSi2P3,1
1769,NaNO2,1
1770,NaBiS2,1
1771,AgSbSe2,1
1772,La2YbCuS5,1
1773,In0.1P0.1Ga0.9As0.9,1
1774,CdSe,1
1775,Mg2Sn,1
1776,Ga0.28In0.72As,1
1777,ZnAs2,1
1778,Ag7AsSe6,1
1779,Ag2CdGeS4,1
1780,InP,1
1781,AgLi0.33Ti0.67O2,1
1782,Hg0.06Zn0.94Te,1
1783,YbGa2Se4,1
1784,Ca2SmTaO6,1
1785,Pb0.8Sn0.2Te,1
1786,Ba4B11O20F,1
1787,GaSe,1
1788,In2O3,1
1789,CrSb2,1
1790,ZnIn2S4,1
1791,Na2Nb4Se4O19,1
1792,Cd3As2,1
1793,Bi2Te1.2Se1.8,1
1794,Cs2B4SiO9,1
1795,Cs10Cd4Sn4S17,1
1796,TlInS2,1
1797,KIO3,1
1798,Rb2Hg3Ge2S8,1
1799,Rb2TeI6,1
1800,SbSI,1
1801,GeSi,1
1802,Cs5P5Se12,1
1803,NaAsS2,1
1804,Ho2GeS5,1
1805,La2Se3,1
1806,TaGaS2,1
1807,MnP4,1
1808,CdSe,1
1809,K10Zn4Ge4S17,1
1810,YbS,1
1811,Tl2Au2Sn2Se6,1
1812,Cs2Bi2Cd2S5,1
1813,LiInI4O12,1
1814,TeSe3,1
1815,Cr3Se4,1
1816,Ga0.65Al0.35As,1
1817,K2Bi8Se13,1
1818,Zn6S5Cl2,1
1819,CuInSe2,1
1820,CuInTe2,1
1821,CsCl,1
1822,Pb0.99Sn0.01Se,1
1823,Pb0.999Se0.999Bi0.002Te0.003,1
1824,Ag2O,1
1825,Pb3B3O10N,1
1826,MnVTe2O8,1
1827,Cd0.99Te0.99Al0.01Sb0.01,1
1828,KTbSe4,1
1829,GaAs,1
1830,ZnAs2,1
1831,SrBiO2Cl,1
1832,FeSi2,1
1833,Ho2Mo3O12,1
1834,K2SmP2S7,1
1835,K10Zn4Sn4S17,1
1836,CdS,1
1837,InSb,1
